Park Name,County,Park Identifier,Park Address,Fire Authority,Jurisdiction,MH Spaces,RV Lots w/Drains,RV Lots w/o Drains,Operated By
HUGHES LAKESHORE PARK,LOS ANGELES,19-0036-MP,"43667 TR. K ELIZABETH LAKE, LAKE HUGHES, CA,  93532,  (805) 724-1845","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",4,0,0,"FOSTER, LUE, PO BOX 280, LAKE HUGHES,  CA,  93532, "
VILLA DEL MAR MOBILE HOME PARK,MENDOCINO,23-0209-MP,"46600 OLD STATE HWY, GUALALA, CA,  95445,  (707) 884-9590","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",20,0,0,"VILLA DEL MAR MHP ASSOCIATION, INC, 46600 OLD STATE HWY #12, GUALALA,  CA,  95445, "
GRRP LLC,MENDOCINO,23-0087-MP,"46001 GUALALA RD, GUALALA, CA,  95445,  (707) 884-3533","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,2,140,"BROWN, DAN, 2866 REDWOOD RD, NAPA,  CA,  94558, "
ANCHOR BAY CAMPGROUND,MENDOCINO,23-0072-MP,"35400 S HWY 1, GUALALA, CA,  95445,  (707) 884-4222","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,0,75,"ANCHOR BAY CAMPGROUND, LLC, C/O ROD RODINSKY PO BOX 1529, GUALALA,  CA,  95445, "
OCEAN VIEW ESTATES @ GUALALA,MENDOCINO,23-0038-MP,"38851 HWY 1, GUALALA, CA,  95445,  (707) 412-7025","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",42,10,0,"CHUNG FAMILY TRUST, PO BOX 974, CLAYTON,  CA,  94517, "
PINES MHP,LOS ANGELES,19-0409-MP,"16118 BELLFLOWER BLVD #0009, BELLFLOWER, CA,  90706,  (626) 575-3070","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",44,0,0,"GROUP XI PICO RIVERA PROPERTIES, LP, 4900 SANTA ANITA AVE #2C, EL MONTE,  CA,  91731, "
BELLWOOD MHP,LOS ANGELES,19-0784-MP,"15717 S WOODRUFF AVE, BELLFLOWER, CA,  90706,  (562) 866-1813","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",47,0,0,"HALE, JOHN, 1635 AVIATION BLVD, REDONDO BEACH,  CA,  90278, "
BELLFLOWER TRAILER HAVEN,LOS ANGELES,19-0876-MP,"9847 FLORA VISTA, BELLFLOWER, CA,  90706,  (310) 866-3683","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",37,0,0,"WESTHOFF, DOUGLAS, PAMELA WESTHOFF P.O. BOX 4149, TORRANCE,  CA,  90510, "
RAINBOW MHP,LOS ANGELES,19-0549-MP,"14710 LAKEWOOD BLVD, BELLFLOWER, CA,  90706,  (310) 602-0401","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",35,0,0,"ASSAYAG, J, 816 CAMINO REAL 204, REDONDO BEACH,  CA,  90277, "
MILL JACKS MHP,LOS ANGELES,19-0423-MP,"13440 S LAKEWOOD BLVD, BELLFLOWER, CA,  90706,  (562) 544-9154","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",96,0,0,"BELLFLOWER PARK ASSOCIATES, 22880 SAVI RANCH PARKWAY, YORBA LINDA,  CA,  92887, "
BELLFLOWER TRAILER HAVEN,LOS ANGELES,19-0435-MP,"16234 S BELLFLOWER, BELLFLOWER, CA,  90706,  (310) 866-3683","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",18,0,0,"WESTHOFF, DOUGLAS, PAMELA WESTHOFF P.O. BOX 4149, TORRANCE,  CA,  90510, "
CEDAR BROOK MP,LOS ANGELES,19-0442-MP,"8647 E CEDAR ST, BELLFLOWER, CA,  90706,  (562) 866-8333","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",21,0,0,"MYERS, LEONA, 14607 LEAHY, BELLFLOWER,  CA,  90706, "
RANCHO LOS CERRITOS TP,LOS ANGELES,19-0555-MP,"14834 LAKEWOOD BLVD #0118, BELLFLOWER, CA,  90706,  (818) 444-2229","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",25,0,0,"MOBILE HOME GROUP I LLC, 4900 SANTA ANITA #2C, EL MONTE,  CA,  91731, "
TROPIC TRAILER PARK PARTNERSHIP,LOS ANGELES,19-0585-MP,"8819 PARK ST, BELLFLOWER, CA,  90706,  (714) 963-2244","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",18,0,0,"TROPICAL VILLA INVESTMENT LLC, 2478 STEVENS AVE, ROSEMEAD,  CA,  91770, "
SKYLARK MHP,LOS ANGELES,19-0834-MP,"9113 E ROSECRANS, BELLFLOWER, CA,  90706,  (562) 633-5049","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",44,0,0,"SKYLARK MHP LP, 1095 W RIO SALADO PKWY SUITE # 203, TEMPE,  AZ,  85281, "
BELL OAKS TP,LOS ANGELES,19-0052-MP,"9258 EAST ARTESIA BLVD, BELLFLOWER, CA,  90706,  (310) 920-8148","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",28,0,0,"ASSAYAG, JACQUES, 816 CAMINO REAL # 204, REDONDO BEACH,  CA,  90277, "
BELLFAIR TRAILER PARK,LOS ANGELES,19-0054-MP,"9023 E ROSE ST, BELLFLOWER, CA,  90706,  (909) 945-8888","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",50,0,0,"BELLFAIR TRAILER PARK LLC, PO BOX 1919, RANCHO CUCAMONGA,  CA,  91729, "
BLUE BIRD TP,LOS ANGELES,19-0067-MP,"8827 E ARTESIA BLVD, BELLFLOWER, CA,  90706,  (310) 633-2955","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",11,0,3,"BOGGS, VIRGINIA, PO BOX 787, BELLFLOWER,  CA,  90706, "
FLAMINGO TP,LOS ANGELES,19-0220-MP,"17444 S LAKEWOOD BLVD, BELLFLOWER, CA,  90706,  (714) 974-0397","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",47,0,0,"J& H PROPERTIES, 22880 SAVI RANCH PKWY, YORBA LINDA,  CA,  92887, "
FAIR HAVEN TP,LOS ANGELES,19-0230-MP,"9235 E ARTESIA, BELLFLOWER, CA,  90706,  (310) 920-0029","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",51,0,0,"CHAU FAIRHAVEN RENTALS LLC, 17031 BOLERO LANE, HUNTINGTON BEACH,  CA,  92649, "
ARTESIA MOBILE HOME PARK,LOS ANGELES,19-0421-MP,"9453 ARTESIA BLVD, BELLFLOWER, CA,  90706,  (949) 274-0972","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",6,0,0,"MIEDEMA FAMILY TRUST C/O DAVID MIEDEMA, 1048 IRVINE AVE #407, NEWPORT BEACH,  CA,  92660, "
VAN SETTEN MHP,LOS ANGELES,19-1015-MP,"9045 E ALONDRA BLVD, BELLFLOWER, CA,  90706,  (310) 866-3334","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",8,0,0,"LALANI, NAZMUDIN, 12328 SOUTH ST # K, ARTESIA,  CA,  90701, "
JOJOBA HILLS SKI RESORT INC,RIVERSIDE,33-0315-MP,"45120 HWY 79, AGUANGA, CA,  92536,  (909) 767-9130","undefined , undefined, undefined, undefined,undefined,undefined,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",0,280,0,"JOJOBA HILLS SKI RESORTS INC, 45120 HWY 79, AGUANGA,  CA,  92536, "
OUTDOOR RESORTS RANCHO CALIFORNIA,RIVERSIDE,33-0512-MP,"45525 HWY 795, AGUANGA, CA,  92536,  (909) 767-0848","undefined , undefined, undefined, undefined,undefined,undefined,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",0,286,0,"OUTDOOR RESORTS RANCHO CALIFORNIA INC, PO BOX 67, AGUANGA,  CA,  92536, "
OAK SPRINGS RANCH,RIVERSIDE,33-0328-MP,"38901 REED VALLEY RD, AGUANGA, CA,  92536,  (909) 677-3007","undefined , undefined, undefined, undefined,undefined,undefined,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",0,70,0,"CHP VENTURES LLC, 38901 REED VALLEY RD, AGUANGA,  CA,  92536, "
COWBOY COUNTRY CAMPGROUND,RIVERSIDE,33-0442-MP,"50005 BRADFORD RD, AGUANGA, CA,  92536,  (714) 763-4665","undefined , undefined, undefined, undefined,undefined,undefined,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",0,12,46,"PME MORTGAGE FUND INC, PO BOX 2836, BIG BEAR LAKE,  CA,  92315, "
DAMERON HGHTS M/H & RV PARK,RIVERSIDE,37-0699-MP,"38450 HWY 79, AGUANGA, CA,  92536,  (619) 299-9950","undefined , undefined, undefined, undefined,undefined,undefined,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",,,,"undefined, undefined, undefined,  undefined,  undefined, "
ROYAL PINES ESTATES,RIVERSIDE,33-0191-MP,"26350 DELANO DR, IDYLLWILD, CA,  92549,  (951) 659-2691","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",109,0,0,"THE ROYAL PINES 330 - 331 EUREKA PROP. LP, C/O PAMA MAMAGEMENT #330 4900 SANT ANITA AVE., SUITE 2C, EL MONTE,  CA,  91731, "
HUMMINGBIRD TP,RIVERSIDE,33-0144-MP,"52791 PINE COVE RD, IDYLLWILD, CA,  92549,  (714) 737-4140","undefined , undefined, undefined, undefined,undefined,undefined,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",15,0,0,"HUMMINGBIRD MHP INC., C/O J. ZORN 27531 BIG SPRINGS RANCH RD., HEMET,  CA,  92544, "
IDYLLWILD ARTS,RIVERSIDE,33-0566-MP,"52500 TEMECULA DR, IDYLLWILD, CA,  92549,  (909) 659-2171","undefined , undefined, undefined, undefined,undefined,undefined,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",0,14,22,"IDYLLWILD ARTS FOUNDATION, PO BOX 38, IDYLLWILD,  CA,  92549, "
IDYLLWILD,RIVERSIDE,33-0397-MP,"24400 CANYON TR, IDYLLWILD, CA,  92549,  (909) 659-4097","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",0,286,0,"THOUSAND TRAILS INC, PO BOX 2529, FRISCO,  TX,  75034, "
IDYLLWILD TP,RIVERSIDE,33-0056-MP,"25955 IDYLLWILD RD, IDYLLWILD, CA,  92549,  (909) 735-5311","undefined , undefined, undefined, undefined,undefined,undefined,","RIVERSIDE, MOBILEHOME PARKS PROGRAM - PO BOX 7600,  RIVERSIDE,  CA,  92513,  (951) 358-5172, MERKI, DOTTIE",58,0,0,"CALLAS, DONNA, 2020 VIA SOLANA, SAN CLEMENTE,  CA,  92673, "
ANTLERS RV PARK AND CAMPGROUND,SHASTA,45-0046-MP,"20682 ANTLER RD, LAKEHEAD, CA,  96051,  (530) 238-2322","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",20,50,36,"H&H PARTNERS DBA ANTLERS RV PARK & CAMPGROUND, PO BOX 127, LAKEHEAD,  CA,  96051, "
LAKESHORE VILLA RV PARK,SHASTA,45-0054-MP,"20672 LAKESHORE DR, LAKEHEAD, CA,  96051,  (530) 238-8688","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",1,74,18,"LAKESHORE RV PARK INC, 4040 HEATON COURT, ANTIOCH,  CA,  94509, "
SHASTA LAKE RV RESORT\CAMPGROUND,SHASTA,45-0043-MP,"20433 LAKESHORE DR, LAKEHEAD, CA,  96051,  (530) 238-2370","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",1,51,19,"SHAIDELL, DARREL & JOYCE, PO BOX 450, LAKEHEAD,  CA,  96051, "
SHASTA MARINA RESORT,SHASTA,45-0062-MP,"18390 OBRIEN INLET RD, LAKEHEAD, CA,  96051,  (530) 238-2284","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,15,15,"HARKRADER, JOHN, 18390 OBRIEN INLET RD, LAKEHEAD,  CA,  96051, "
LAKEHEAD CAMPGROUND\RV PARK,SHASTA,45-0108-MP,"20999 ANTLERS RD, LAKEHEAD, CA,  96051,  (530) 238-8450","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",3,22,25,"HENGST, CECIL, PO BOX 646, LAKEHEAD,  CA,  96051, "
LAKE SHASTA PINES RV,SHASTA,45-0184-MP,"19663 SOLUS CAMPGROUND RD, LAKEHEAD, CA,  96051,  (530) 261-2222","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,19,27,"LEWIS, LILLIAN, PO BOX 87, DUNSMUIR,  CA,  96025, "
SALT CREEK RESORT & RV,SHASTA,45-0202-MP,"19194 LOWER SALT CREEK RD, LAKEHEAD, CA,  96051,  (530) 238-2161","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",15,0,0,"YOUNG, DAREN, 42745 BOSCELL RD, FREMONT,  CA,  94538, "
CORAL ISLE MHP,SAN BERNARDINO,36-0470-MP,"9426 TAMARISK, HESPERIA, CA,  92345,  (760) 244-2024","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HESPERIA, 9700 7TH AVENUE,  HESPERIA,  CA,  92345,  (760) 947-1220, HEARN, MIKE",70,0,0,"HESPERIA ESTATES LLC, PO BOX 3308 EL CAMINO AVE SUITE 300-0608, SACRAMENTO,  CA,  95821, "
SAGE MOBILE ESTATES,SAN BERNARDINO,36-0603-MP,"9152 C ST, HESPERIA, CA,  92345,  (714) 597-7016","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HESPERIA, 9700 7TH AVENUE,  HESPERIA,  CA,  92345,  (760) 947-1220, HEARN, MIKE",99,0,0,"BEARDSLEY, GEORGE, 16840 OLIVE, HESPERIA,  CA,  92345, "
DESERT WILLOW RV PARK,SAN BERNARDINO,36-0646-MP,"12624 W MAIN ST, HESPERIA, CA,  92345,  (760) 949-0377","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HESPERIA, 9700 7TH AVENUE,  HESPERIA,  CA,  92345,  (760) 947-1220, HEARN, MIKE",0,174,0,"BROWN, CRAIG, PO BOX 10009, NEWPORT BEACH,  CA,  92658, "
HIGHLANDER MHD,SAN BERNARDINO,36-0431-MP,"9120 HESPERIA RD, HESPERIA, CA,  92345,  (619) 244-9562","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HESPERIA, 9700 7TH AVENUE,  HESPERIA,  CA,  92345,  (760) 947-1220, HEARN, MIKE",31,0,0,"MILANA V LLC, 2445 STANLEY, TUSTIN,  CA,  92782, "
JOSHUA MP,SAN BERNARDINO,36-0433-MP,"10701 G AVE, HESPERIA, CA,  92345,  (619) 244-9562","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HESPERIA, 9700 7TH AVENUE,  HESPERIA,  CA,  92345,  (760) 947-1220, HEARN, MIKE",40,0,0,"JOSHUA MOBILEHOME PARK, 10701 G AVE #38, HESPERIA,  CA,  92345, "
WILLOW OAKS ESTATES,SAN BERNARDINO,36-0649-MP,"12550 MAIN ST WEST, HESPERIA, CA,  92345,  (760) 949-0377","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HESPERIA, 9700 7TH AVENUE,  HESPERIA,  CA,  92345,  (760) 947-1220, HEARN, MIKE",181,0,0,"WATT FAMILY PROPERTIES INC, 2716 OCEAN PARK BLVD #3040, SANTA MONICA,  CA,  90405, "
PALM GROVE TRAILER CT,SAN BERNARDINO,36-0150-MP,"27261 BASELINE, HIGHLAND, CA,  92346,  (909) 864-1987","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",45,0,0,"DAVIDSON, SHAWNA, 555 N. EL CAMINO REAL APT. # A302, SAN CLEMENTE,  CA,  92672, "
SIESTA MHP,SAN BERNARDINO,36-0286-MP,"26122 E BASELINE RD, HIGHLAND, CA,  92346,  (949) 842-3831","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",33,0,0,"VU, LIEN, 3483 CANYON CREEK DR, SAN JOSE,  CA,  95132, "
MOBILE ESTATES,SAN BERNARDINO,36-0328-MP,"26235 E 9TH ST, HIGHLAND, CA,  92346,  (909) 984-3910","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",143,0,0,"ROYCE MOBILE ESTATES LLC, 4742 N 24TH STREET SUITE 325, PHOENIX,  AZ,  85016, "
BOULDER TP,SAN BERNARDINO,36-0332-MP,"28479 E 3RD ST, HIGHLAND, CA,  92346,  (909) 797-0505","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",26,0,6,"RIEDMAN, THOMAS, 29465 HODSDONSDALE LN, EUGENE,  OR,  97402, "
HIGHLANDS MHP,SAN BERNARDINO,36-0648-MP,"7717 CHURCH AVE, HIGHLAND, CA,  92346,  (909) 949-0377","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",215,0,0,"THE HIGHLANDS MOBILEHOME ESTATES LLC, 3491 CONCOURS ST SUITE # 204, ONTARIO,  CA,  91764, "
FAIRWAY MOBILE ESTATES,SAN BERNARDINO,36-0633-MP,"26297 E. BASELINE ST., HIGHLAND, CA,  92346,  (619) 241-6370","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",63,0,0,"MARTINEZ, VICTOR, PO BOX 1919, RANCHO CUCAMONGA,  CA,  91729, "
EASTWOOD MP,SAN BERNARDINO,36-0365-MP,"25070 E 3RD ST, HIGHLAND, CA,  92346,  (619) 241-6470","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",0,19,0,"NATIONAL CONSTRUCTION CONSULTANTS, LLC, 1100 VIA VERDE, SAN DIMAS,  CA,  91773, "
HIGHLAND MH AND RV PARK,SAN BERNARDINO,36-0415-MP,"26135 BASELINE, HIGHLAND, CA,  92346,  (909) 862-4796","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",41,0,0,"HIGHLAND MH RV PARK LLLC, 3308 EL CAMINO AVE SUITE 300-608, SACRAMENTO,  CA,  95821, "
SILVER CREEK MOBILE ESTATES,SAN BERNARDINO,36-0557-MP,"26245 E BASELINE, HIGHLAND, CA,  92346,  (909) 862-0208","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",65,0,0,"SILVER CREEK M.E. LLC, PO BOX 1919, RANCHO CUCAMONGA,  CA,  91729, "
MOUNTAIN SHADOWS MH COMMUNITY,SAN BERNARDINO,36-0570-MP,"4040 E PIEDMONT DR, HIGHLAND, CA,  92346,  (909) 864-1522","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",403,0,0,"STUBBLEFIELD CONSTRUCTION, 2258 BRADFORD AVE, HIGHLAND,  CA,  92346, "
DOMA ESTATES MHP,SANTA CLARA,43-0009-MP,"3600 FLORA VISTA AVE, SANTA CLARA, CA,  95051,  (408) 269-9336","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",92,10,0,"TERSIGNI, JOE, 1830 HAMILTON AVE, SAN JOSE,  CA,  95125, "
HELEN G SKAINES PARK,SONOMA,49-0134-MP,"20184 ALDER RD, MONTE RIO, CA,  95462,  (707) 527-5756","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",2,0,0,"CANDE, K & CHRISTENSEN, M & FERENZ, D & J, 365 TUMBLEWEED CT, FREMONT,  CA,  94539, "
SEQUOIA MOTEL\TP,TULARE,54-0097-MP,"43000 SIERRA DR, THREE RIVERS, CA,  93271,  (559) 561-4453","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",18,0,0,"SCHLOSSIN, CHRIS, TOM SCHLOSSIN PO BOX 145, THREE RIVERS,  CA,  93271, "
TRAILER ISLE,TULARE,54-0073-MP,"43490 N FORK DR, THREE RIVERS, CA,  93271,  (209) 561-4333","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",21,33,10,"BRANDON, MITCHELL, 43490 NORTH FORK DRIVE, THREE RIVERS,  CA,  93271, "
THREE RIVERS HIDEWAY,TULARE,54-0066-MP,"43365 SIERRA DR, THREE RIVERS, CA,  93271,  (209) 561-4413","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",21,30,0,"HAMMOND, DAVE, PO BOX 575, THREE RIVERS,  CA,  93271, "
POMERADO OAKS MOBILE ESTATES,SAN DIEGO,37-0240-MP,"12306 POMERADO RD, POWAY, CA,  92064,  (858) 748-3189","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",30,0,0,"BOEHMER, STEVE, 5142 ESPINOZA RD, EL CAJON,  CA,  92021, "
